Key;Start;Ende
1;de:07334:1714;de:07334:1731
2;de:07334:1721;de:08212:1700
3;de:07334:1721;de:07334:1723
4;de:07334:1723;de:07334:1731
5;de:07334:1714;de:07334:1734
6;de:07334:1734;de:07334:1735
7;de:07334:1735;de:07334:1736
8;de:07334:1738;de:07334:1739
9;de:07334:1736;de:07334:1739
10;de:07334:1731;de:07334:1741
11;de:07334:1743;de:07334:35004
12;de:07334:1743;de:07334:1744
13;de:07334:1745;de:07334:35003
14;de:07334:1746;de:07334:32660
15;de:07334:1747;de:07334:35002
16;de:07334:1747;de:07334:1748
17;de:07334:1745;de:07334:32451
18;de:07334:1748;de:07334:32637
19;de:07334:32451;de:07334:32660
20;de:07334:1746;de:07334:35002
21;de:07334:1744;de:07334:35003
22;de:07334:1741;de:07334:35004
23;de:08125:1110;de:08125:5404
24;de:08212:10;de:08212:11
25;de:08212:10;de:08212:802
26;de:08212:1001;de:08212:6
27;de:08212:1001;de:08212:1002
28;de:08212:1002;de:08212:1003
29;de:08212:1003;de:08212:1004
30;de:08212:101;de:08212:58
31;de:08212:1011;de:08212:1012
32;de:08212:1002;de:08212:1011
33;de:08212:1012;de:08212:1013
34;de:08212:1013;de:08212:74
35;de:08212:101;de:08212:103
36;de:08212:103;de:08212:104
37;de:08212:104;de:08212:105
38;de:08212:105;de:08212:106
39;de:08212:106;de:08212:107
40;de:08212:11;de:08212:16
41;de:08212:1101;de:08212:41
42;de:08212:1101;de:08212:1103
43;de:08212:1103;de:08212:1104
44;de:08212:1104;de:08212:1105
45;de:08212:1105;de:08212:1106
