LineRef;Station;Direction;Route;StopSeq
21001;de:08212:18;H;Durlach - Neureut-Heide;1
21001;de:08212:19;H;Durlach - Neureut-Heide;2
21001;de:08212:17;H;Durlach - Neureut-Heide;3
21001;de:08212:16;H;Durlach - Neureut-Heide;4
21001;de:08212:11;H;Durlach - Neureut-Heide;5
21001;de:08212:10;H;Durlach - Neureut-Heide;6
21001;de:08212:9;H;Durlach - Neureut-Heide;7
21001;de:08212:7;H;Durlach - Neureut-Heide;8
21001;de:08212:6;H;Durlach - Neureut-Heide;9
21001;de:08212:1001;H;Durlach - Neureut-Heide;10
21001;de:08212:1002;H;Durlach - Neureut-Heide;11
21001;de:08212:1003;H;Durlach - Neureut-Heide;12
21001;de:08212:1004;H;Durlach - Neureut-Heide;13
21001;de:08212:39;H;Durlach - Neureut-Heide;14
21001;de:08212:7003;H;Durlach - Neureut-Heide;15
21001;de:08212:5;H;Durlach - Neureut-Heide;16
21001;de:08212:8;H;Durlach - Neureut-Heide;17
21001;de:08212:12;H;Durlach - Neureut-Heide;18
21001;de:08212:7009;H;Durlach - Neureut-Heide;19
21001;de:08212:13;H;Durlach - Neureut-Heide;20
21002;de:08212:4500;H;Wolfartsweier - Siemensallee;1
21002;de:08212:4492;H;Wolfartsweier - Siemensallee;2
21002;de:08212:4496;H;Wolfartsweier - Siemensallee;3
21002;de:08212:4493;H;Wolfartsweier - Siemensallee;4
21002;de:08212:4494;H;Wolfartsweier - Siemensallee;5
21002;de:08212:4495;H;Wolfartsweier - Siemensallee;6
21002;de:08212:4497;H;Wolfartsweier - Siemensallee;7
21002;de:08212:4499;H;Wolfartsweier - Siemensallee;8
21002;de:08212:11;H;Wolfartsweier - Siemensallee;9
21002;de:08212:10;H;Wolfartsweier - Siemensallee;10
21002;de:08212:9;H;Wolfartsweier - Siemensallee;11
21002;de:08212:7;H;Wolfartsweier - Siemensallee;12
21002;de:08212:6;H;Wolfartsweier - Siemensallee;13
21002;de:08212:1001;H;Wolfartsweier - Siemensallee;14
21002;de:08212:1002;H;Wolfartsweier - Siemensallee;15
21002;de:08212:1011;H;Wolfartsweier - Siemensallee;16
21002;de:08212:1012;H;Wolfartsweier - Siemensallee;17
21002;de:08212:1013;H;Wolfartsweier - Siemensallee;18
21002;de:08212:74;H;Wolfartsweier - Siemensallee;19
21002;de:08212:98;H;Wolfartsweier - Siemensallee;20
21002;de:08212:89;H;Wolfartsweier - Siemensallee;21
21002;de:08212:91;H;Wolfartsweier - Siemensallee;22
21002;de:08212:5003;H;Wolfartsweier - Siemensallee;23
21002;de:08212:6218;H;Wolfartsweier - Siemensallee;24
21002;de:08212:65;H;Wolfartsweier - Siemensallee;25
21002;de:08212:64;H;Wolfartsweier - Siemensallee;26
21002;de:08212:508;H;Wolfartsweier - Siemensallee;27
21002;de:08212:62;H;Wolfartsweier - Siemensallee;28
21002;de:08212:61;H;Wolfartsweier - Siemensallee;29
21002;de:08212:37;H;Wolfartsweier - Siemensallee;30
21002;de:08212:37;H;Wolfartsweier - Siemensallee;31
21002;de:08212:39;H;Wolfartsweier - Siemensallee;32
21002;de:08212:41;H;Wolfartsweier - Siemensallee;33
21002;de:08212:1101;H;Wolfartsweier - Siemensallee;34
21002;de:08212:521;H;Wolfartsweier - Siemensallee;35
21002;de:08212:522;H;Wolfartsweier - Siemensallee;36
21002;de:08212:523;H;Wolfartsweier - Siemensallee;37
21002;de:08212:524;H;Wolfartsweier - Siemensallee;38
21002;de:08212:525;H;Wolfartsweier - Siemensallee;39
21002;de:08212:237;H;Wolfartsweier - Siemensallee;40
21002;de:08212:238;H;Wolfartsweier - Siemensallee;41
21002;de:08212:239;H;Wolfartsweier - Siemensallee;42
21002;de:08212:240;H;Wolfartsweier - Siemensallee;43
21003;de:08212:314;H;Rintheim - Daxlanden/Rappenwört;1
21003;de:08212:313;H;Rintheim - Daxlanden/Rappenwört;2
21003;de:08212:310;H;Rintheim - Daxlanden/Rappenwört;3
21003;de:08212:402;H;Rintheim - Daxlanden/Rappenwört;4
21003;de:08212:402;H;Rintheim - Daxlanden/Rappenwört;5
21003;de:08212:401;H;Rintheim - Daxlanden/Rappenwört;6
21003;de:08212:3;H;Rintheim - Daxlanden/Rappenwört;7
21003;de:08212:80;H;Rintheim - Daxlanden/Rappenwört;8
21003;de:08212:85;H;Rintheim - Daxlanden/Rappenwört;9
21003;de:08212:83;H;Rintheim - Daxlanden/Rappenwört;10
21003;de:08212:84;H;Rintheim - Daxlanden/Rappenwört;11
21003;de:08212:98;H;Rintheim - Daxlanden/Rappenwört;12
21003;de:08212:89;H;Rintheim - Daxlanden/Rappenwört;13
21003;de:08212:91;H;Rintheim - Daxlanden/Rappenwört;14
21003;de:08212:63;H;Rintheim - Daxlanden/Rappenwört;15
21003;de:08212:62;H;Rintheim - Daxlanden/Rappenwört;16
21003;de:08212:61;H;Rintheim - Daxlanden/Rappenwört;17
21003;de:08212:37;H;Rintheim - Daxlanden/Rappenwört;18
21003;de:08212:37;H;Rintheim - Daxlanden/Rappenwört;19
21003;de:08212:39;H;Rintheim - Daxlanden/Rappenwört;20
21003;de:08212:41;H;Rintheim - Daxlanden/Rappenwört;21
21003;de:08212:44;H;Rintheim - Daxlanden/Rappenwört;22
21003;de:08212:45;H;Rintheim - Daxlanden/Rappenwört;23
21003;de:08212:51;H;Rintheim - Daxlanden/Rappenwört;24
21003;de:08212:201;H;Rintheim - Daxlanden/Rappenwört;25
21003;de:08212:315;H;Rintheim - Daxlanden/Rappenwört;26
21003;de:08212:302;H;Rintheim - Daxlanden/Rappenwört;27
21003;de:08212:303;H;Rintheim - Daxlanden/Rappenwört;28
21003;de:08212:304;H;Rintheim - Daxlanden/Rappenwört;29
21003;de:08212:305;H;Rintheim - Daxlanden/Rappenwört;30
21003;de:08212:306;H;Rintheim - Daxlanden/Rappenwört;31
21003;de:08212:307;H;Rintheim - Daxlanden/Rappenwört;32
21003;de:08212:308;H;Rintheim - Daxlanden/Rappenwört;33
21004;de:08212:3012;H;Waldstadt - Oberreut;1
21004;de:08212:411;H;Waldstadt - Oberreut;2
21004;de:08212:3017;H;Waldstadt - Oberreut;3
21004;de:08212:409;H;Waldstadt - Oberreut;4
21004;de:08212:408;H;Waldstadt - Oberreut;5
21004;de:08212:407;H;Waldstadt - Oberreut;6
21004;de:08212:406;H;Waldstadt - Oberreut;7
21004;de:08212:405;H;Waldstadt - Oberreut;8
21004;de:08212:404;H;Waldstadt - Oberreut;9
21004;de:08212:403;H;Waldstadt - Oberreut;10
21004;de:08212:402;H;Waldstadt - Oberreut;11
21004;de:08212:401;H;Waldstadt - Oberreut;12
21004;de:08212:3;H;Waldstadt - Oberreut;13
21004;de:08212:85;H;Waldstadt - Oberreut;14
21004;de:08212:71;H;Waldstadt - Oberreut;15
21004;de:08212:61;H;Waldstadt - Oberreut;16
21004;de:08212:37;H;Waldstadt - Oberreut;17
21004;de:08212:37;H;Waldstadt - Oberreut;18
21004;de:08212:39;H;Waldstadt - Oberreut;19
21004;de:08212:40;H;Waldstadt - Oberreut;20
21004;de:08212:602;H;Waldstadt - Oberreut;21
21004;de:08212:603;H;Waldstadt - Oberreut;22
21004;de:08212:604;H;Waldstadt - Oberreut;23
21004;de:08212:605;H;Waldstadt - Oberreut;24
21004;de:08212:606;H;Waldstadt - Oberreut;25
21004;de:08212:607;H;Waldstadt - Oberreut;26
21004;de:08212:608;H;Waldstadt - Oberreut;27
21004;de:08212:609;H;Waldstadt - Oberreut;28
21004;de:08212:610;H;Waldstadt - Oberreut;29
21004;de:08212:611;H;Waldstadt - Oberreut;30
21005;de:08212:802;H;Durlach Bf - Rheinhafen;1
21005;de:08212:10;H;Durlach Bf - Rheinhafen;2
21005;de:08212:9;H;Durlach Bf - Rheinhafen;3
21005;de:08212:7;H;Durlach Bf - Rheinhafen;4
21005;de:08212:624;H;Durlach Bf - Rheinhafen;5
21005;de:08212:623;H;Durlach Bf - Rheinhafen;6
21005;de:08212:622;H;Durlach Bf - Rheinhafen;7
21005;de:08212:85;H;Durlach Bf - Rheinhafen;8
21005;de:08212:71;H;Durlach Bf - Rheinhafen;9
21005;de:08212:61;H;Durlach Bf - Rheinhafen;10
21005;de:08212:61;H;Durlach Bf - Rheinhafen;11
21005;de:08212:62;H;Durlach Bf - Rheinhafen;12
21005;de:08212:508;H;Durlach Bf - Rheinhafen;13
21005;de:08212:507;H;Durlach Bf - Rheinhafen;14
21005;de:08212:603;H;Durlach Bf - Rheinhafen;15
21005;de:08212:505;H;Durlach Bf - Rheinhafen;16
21005;de:08212:504;H;Durlach Bf - Rheinhafen;17
21005;de:08212:503;H;Durlach Bf - Rheinhafen;18
21005;de:08212:51;H;Durlach Bf - Rheinhafen;19
21005;de:08212:51;H;Durlach Bf - Rheinhafen;20
21005;de:08212:58;H;Durlach Bf - Rheinhafen;21
21005;de:08212:501;H;Durlach Bf - Rheinhafen;22
22010;de:08235:9558;H;Bad Herrenalb - Marxzell - Busenbach - Ettlingen - Karlsruhe - Neureut - Eggenstein - Leopoldshafen - Hochstetten;1
22010;de:08235:9711;H;Bad Herrenalb - Marxzell - Busenbach - Ettlingen - Karlsruhe - Neureut - Eggenstein - Leopoldshafen - Hochstetten;2
22010;de:08215:1304;H;Bad Herrenalb - Marxzell - Busenbach - Ettlingen - Karlsruhe - Neureut - Eggenstein - Leopoldshafen - Hochstetten;3
22010;de:08215:1303;H;Bad Herrenalb - Marxzell - Busenbach - Ettlingen - Karlsruhe - Neureut - Eggenstein - Leopoldshafen - Hochstetten;4
22010;de:08215:1302;H;Bad Herrenalb - Marxzell - Busenbach - Ettlingen - Karlsruhe - Neureut - Eggenstein - Leopoldshafen - Hochstetten;5
22010;de:08215:1301;H;Bad Herrenalb - Marxzell - Busenbach - Ettlingen - Karlsruhe - Neureut - Eggenstein - Leopoldshafen - Hochstetten;6
22010;de:08215:1241;H;Bad Herrenalb - Marxzell - Busenbach - Ettlingen - Karlsruhe - Neureut - Eggenstein - Leopoldshafen - Hochstetten;7
22010;de:08215:1237;H;Bad Herrenalb - Marxzell - Busenbach - Ettlingen - Karlsruhe - Neureut - Eggenstein - Leopoldshafen - Hochstetten;8
22010;de:08215:1235;H;Bad Herrenalb - Marxzell - Busenbach - Ettlingen - Karlsruhe - Neureut - Eggenstein - Leopoldshafen - Hochstetten;9
22010;de:08215:1231;H;Bad Herrenalb - Marxzell - Busenbach - Ettlingen - Karlsruhe - Neureut - Eggenstein - Leopoldshafen - Hochstetten;10
22010;de:08215:1223;H;Bad Herrenalb - Marxzell - Busenbach - Ettlingen - Karlsruhe - Neureut - Eggenstein - Leopoldshafen - Hochstetten;11
22010;de:08215:1221;H;Bad Herrenalb - Marxzell - Busenbach - Ettlingen - Karlsruhe - Neureut - Eggenstein - Leopoldshafen - Hochstetten;12
