LineRef;Station;Direction;Route;StopSeq
22031;de:08215:31008;H;Odenheim - Karlsruhe;1
22031;de:08215:31007;H;Odenheim - Karlsruhe;2
22031;de:08215:3185;H;Odenheim - Karlsruhe;3
22031;de:08215:31005;H;Odenheim - Karlsruhe;4
22031;de:08215:32554;H;Odenheim - Karlsruhe;5
22031;de:08215:31004;H;Odenheim - Karlsruhe;6
22031;de:08215:32603;H;Odenheim - Karlsruhe;7
22031;de:08215:31002;H;Odenheim - Karlsruhe;8
22031;de:08215:1858;H;Odenheim - Karlsruhe;9
22031;de:08215:1857;H;Odenheim - Karlsruhe;10
22031;de:08215:1856;H;Odenheim - Karlsruhe;11
22031;de:08215:1855;H;Odenheim - Karlsruhe;12
22031;de:08215:1854;H;Odenheim - Karlsruhe;13
22031;de:08215:1853;H;Odenheim - Karlsruhe;14
22031;de:08212:801;H;Odenheim - Karlsruhe;15
22031;de:08212:90;H;Odenheim - Karlsruhe;16
